"","major","year_in_school","vote_status_2018","vote_status_2016","vote_intention_2020","voter_identity","feelings_on_voter_importance","desire_to_be_more_engaged","feelings_on_STEM_turnout","free_response","given_turnout_explanation","STEM_representation_better_gov","stem_dummy"
"1","A E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Not sure. Maybe the STEM majors care less about politics.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"2","A E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","Most stem majors are now interested in politics and if anything view it as a barrier to rational action ","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"3","A E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","Idk","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"4","A E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","They may not feel it is important to them or they didn't have time and blew it off.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"5","A E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","No","No","We’re focused on school, not really outside of it","Lack of time due to course load","Probably not","Stem"
"6","A E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","No","Have more things they need to be doing instead.","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"7","A E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","Yes","Less interest in the major media pushed issues ","","Probably yes","Stem"
"8","A E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","Yes","No","I think that people in STEM are just more focused on coursework and involvements in school than what is happening around them. ","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"9","A E","Undergraduate, 4th year","No","No","Yes","No","Strongly Agree","Yes","No","STEM majors are more technically minded while other majors are more emotionally minded","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"10","A E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","We have other work to be doing ","Lack of time due to course load","Probably yes","Stem"
"11","A E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Difficult coursework and emphasis on major related clubs and activities lead to a smaller knowledge of political events and lower education on voting topics as a whole.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"12","A E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","People aren't as concerned with social matters and politics.","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"13","A E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","","Might or might not","Stem"
"14","A E","Undergraduate, 2nd year","No","Was not eligible","No","No","Somewhat agree","No","No","","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"15","A ECL","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Not sure, seems dumb ","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"16","A ECL","Undergraduate, 1st year","Was not eligible","Was not eligible","No","No","Somewhat agree","No","Yes","I don't know ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"17","A ECL","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","No","20%","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"18","A ECL","Undergraduate, 4th year","No","Was not eligible","Yes","No","Somewhat agree","Yes","No","STEM majors are busy working on homework, studies, and research ","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably yes","Stem"
"19","A ECL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","Not sure","Lack of time due to course load","Might or might not","Stem"
"20","A ECL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","Yes","Yes","I don’t know","Lack of time due to course load","Probably not","Stem"
